cluster_id,unique_id,first_name,surname,dob,city,email,cluster
1,2,Rob,Allen,1971-06-24,London,roberta25@smith.net,0
7,9,Evie,Dean,2015-03-03,Pootsmruth,evihd56@earris-bailey.net,3
12,12,Hall,Isla,1985-02-07,London,islahall97@gutierrez-bennett.com,4
14,14,Oliver,Griffiths,1991-10-26,Lunton,o.griffiths90@reyes-coleman.com,5
19,19,Rowe,Caleb,1992-12-20,Lvpreool,calebr@thompson.org,8
21,21,Darcy,Bernass,1986-02-04,Southampton,darcy.b@silva.com,9
22,24,Thoas,Green,1974-10-05,London,thomas.green@clark.org,10
25,25,Gabriel,Thomas,1977-09-13,London,gabriel.t54@nichols.info,11
26,26,Thomas,Gabriel,1976-09-15,Loodon,gabriel.t54@nnichls.info,11
26,28,Thomas,Gabriel,1976-09-15,London,gabriel.t54@nichols.info,11
26,30,Thomas,Gabriel,1976-09-15,London,gabriel.t54@nlchois.info,11
31,32,Lola,Brown,1983-11-06,Bradford,lola.b@martinesz-jone.net,12
37,37,Theodore,Morris,1978-08-19,Birmingham,t.m39@brooks-sawyer.com,13
37,39,Theodore,Morris,1978-08-19,Birmingham,t.m39@brooks-sawyer.com,13
37,40,Theodore,Mosrir,1978-09-19,Birminghaim,t.m39@brooks-sawyer.com,13
37,43,Theodore,Morris,1978-08-19,Birmingham,t.m39@brooks-sawyer.com,13
47,47,Erin,Rogers,2010-01-02,London,e.rogers3@hopkins.org,15
51,52,Jyayden,Bnennet,2017-01-11,Snawseaa,jb88@king.com,16
51,53,Jayden,Bennett,2017-01-11,Swwanea,jb88@king.com,16
51,54,Jayden,Bennett,2017-01-11,Swansea,jb88@king.com,16
51,56,Jayden,Bennett,2017-02-10,Swansea,jb88@king.com,16
51,57,Jayaned,Bennett,2017-01-11,swansea,8jb88@king.com,16
63,63,Adam,Jsneo,1982-10-12,Bristol,ajones6@cortez-wilcox.com,19
63,64,Adaam,Jones,1982-10-11,Bristol,ajones6@cortez-wilcox.com,19
63,65,Adam,Jones,1992-09-11,oBristl,ajones6@cortez-wilcox.com,19
68,69,Reggie,Mason,1986-09-09,Coventry,r..m51@leonard.net,20
73,73,Jones,Willow,1990-07-12,Wolverhampton,wilowjones14@whitney-wimlkersonc.om,21
74,74,Ronni,Begum,2003-10-15,London,r.b80@ellis-berry.com,22
75,77,Elizabeth,Mason,1996-11-10,Leicester,emason@ware.com,23
75,78,Elizabeth,Mason,1997-12-10,Leicester,em@aosn@ware.com,23
79,79,Ryan,Cole,1987-05-25,Brritsol,r.cole1@ramirez-anthony.com,24
79,84,Ryan,Cole,1988-05-27,Bristol,r.cole1@ramtrez-anihony.com,24
85,85,Charlotte,Johnson,2022-02-02,Telford,charlottej68@lee-taylor.org,25
85,86,Charlotte,Johnson,2012-01-06,fTelford,charlottej68@lee-taylor@.org,25
87,87,Lex,Gorodon,1994-10-01,Birmingham,l.gordon34@french.com,26
90,90,Osacar,Moore,2016-01-12,Liverpool,omoore64@randall.com,27
90,91,Moore,Oscar,2016-01-12,Liverpool,omoore64@randall.com,27
90,93,Moore,Oscar,2016-01-12,Liverpool,omoore64@randall.com,27
90,94,Oscra,Moore,2016-01-12,Liverpool,omoore64@randall.com,27
90,95,Ocar,Moore,2016-01-12,Liverpool,omoore64@randall.com,27
96,96,Elanor,Eavns,2008-08-27,Bristol,e.e@day.com,28
101,101,Alfie,Griffiths,2008-05-07,Plymouth,a.griffiths@garner-bridges.com,29
101,104,Griffiths,Alfie,2008-05-07,Plymouth,a.griffiths@garner-bridges.com,29
101,105,Alfie,Griffiths,2008-05-07,Plymouth,a.griffiths@garner-bridges.com,29
106,106,Miaisie,Walsh,2005-08-20,Bimminghar,maiie.walsoh@hodge.com,30
106,107,Maisie,Walsh,2005-08-20,Birmingham,maisie.walsh@hodge.com,30
109,110,Oliver,Atkinnos,2009-12-21,London,oliver.atkinson@moran-smith.com,31
109,112,Oliver,Atkinson,2010-01-20,London,oliver.atkinson@moran-smith.com,31
109,114,Oliver,Atkinson,2009-12-21,London,oliver.atkinson@moran-smith.com,31
